dart0, 435, 21, 176, 168
dart1, 199, 138, 188, 186
dart2, 103, 96, 91, 87
dart3, 325, 152, 67, 67
dart4, 183, 93, 211, 208
dart5, 426, 135, 119, 117
dart6, 211, 117, 65, 63
dart7, 256, 166, 147, 147
dart8, 839, 220, 123, 113
dart8, 62, 258, 71, 79
dart9, 201, 50, 234, 234
dart10, 918, 154, 35, 52
dart10, 586, 126, 56, 86
dart10, 91, 109, 96, 98
dart11, 184, 106, 62, 60
dart12, 156, 75, 64, 141
dart13, 288, 120, 121, 131
dart14, 983, 96, 127, 135
dart 14,122, 98, 127, 135
dart15, 155, 53, 129, 142
